"NOM [cite: 4]","QTÉ [cite: 5]","DPT [cite: 6]","PRIX [cite: 7]","DESCRIPTION [cite: 8]"
"KIT SON NTG 3+ H6 [cite: 9]","","Audio [cite: 10]","70$ [cite: 11]","NTG3+H6+fil XLR [cite: 12]"
"Lavalier AVX-MKE2 SET-4 Digital Camera-Mount Wireless Omni [cite: 13]","1 [cite: 15]","Audio [cite: 16]","5DS [cite: 17]","1x AVX receiver (XLR) [cite: 14], Lavalier Microphone System (1.9 GHz) [cite: 18], 1x AVX transmitter [cite: 19], 2x female XLR to 3.5mm (jack 1/8) [cite: 20]"
"Lavalier Tentacle Sync TRACKE [cite: 21]","1 [cite: 22]","Audio [cite: 23]","255 [cite: 24]","https://teriticlesync.com/tmcke [cite: 25]"
"Lavalier Tentacle Sync Mk II Time code generator [cite: 26]","1 [cite: 27]","Audio [cite: 28]","25$ [cite: 29]",""
"DJI Ronin Rs2 [cite: 31]","","Cameras [cite: 32]","90$ [cite: 33]","Tilta Battery Plate for DJI RS 2 Ring Grip (V-Mount) [cite: 34], Tilta Nucleus-M Handgrip Universal Gimbal Adapters with Rosettes (L/R) [cite: 35], Tilta Extended Quick Release Baseplate for DJI RS 2 [cite: 36], Tilta Advanced Ring Grip for DJI RS 2 Gimbal [cite: 37], Tilta Power Supply Module for Ring Grip [cite: 38]"
"OSEE Moniteur 21"" [cite: 39]","","Cameras [cite: 40]","1005 [cite: 41]","OSEE G7 73000 cd/m² SDI/HDMI On-Camera Monitor [cite: 42], Dans le caise 935 Noir extra unit abimë dans son caisse originale [cite: 45]"
"VISTEK BM7 11 DS 7 High Bright [cite: 46]","","Cameras [cite: 47]","75$ [cite: 48]",""
"Konovision/IKAN KVM-2350W 23po [cite: 49]","","Cameras [cite: 50]","1505 [cite: 51]",""
"Kit KOMODO BK-DSCM3-SUR DEMANDE [cite: 52]","1 [cite: 58]","Cameras [cite: 59]","SUR DEMANDE [cite: 60]","1x Komodo 6K [cite: 61], 1x Speedbooster 0.71x RF to EF-2x Metabone RF to EF [cite: 62], 2x 512G ProGrade [cite: 63], 1x 512G Angiebird [cite: 64], 1x lecteur CFast2.0+ cable USB-C [cite: 65], Full Cage BSinn: Top handle, rode expender, base plate [cite: 66], Full Cage Tita top cold shoe [cite: 67]"
"KIT RED MONSTRO 8K-SUR DEMANDE [cite: 53]","","Cameras [cite: 69]","SUR DEMANDE [cite: 68]",""
"Module 8 Tuner L1-Super Baltar (RF) [cite: 54]","","","255 [cite: 72]","MODIFIER adapter RF to EF-https://www.shopmoment. com/pages/module-8-tunera [cite: 71, 73]"
"Module 8 Tuner L2-K35 (RF) [cite: 55]","","","25$ [cite: 75]","MODIFIER adapter RF to EF- //www.shopmoment. com/pages/module-8-tuners [cite: 74, 76]"
"Cage SmaliRIG [cite: 77]","1 [cite: 80]","Cameras [cite: 81]","150$ [cite: 82]","Top handle [cite: 78], 1x coil Full HDMI cable to mini HDMI [cite: 79], 4x generique Canon LP-E6 [cite: 83], 4x Canon Canon LP-E6N [cite: 84], 1x Canon Canon LP-E6Nh [cite: 85]"
"sur Trepid OConnor 30L Two-Stage Carbon Fiber Tripod Legs (100mm [cite: 86]","","","1255 [cite: 88]","O'Connor 1030d fluid head [cite: 87], Bowl, Standard) [cite: 89]"
"Hihat 100m O'Connor [cite: 90]","","","20$ [cite: 91]","Sur base plate (highhat 100mm) [cite: 92]"
"Sachtler ACE XL Tripod System with FT 75 Legs & Mid-Level Spreader (75mm Bowl) [cite: 93]","1 [cite: 94]","Cameras [cite: 95]","70$ [cite: 96]",""
"Tripod Manfrotto 501 HDV [cite: 97]","1 [cite: 98]","Cameras [cite: 99]","50$ [cite: 100]",""
"Elvid 7-Section Acrylic Production Slate with Soft Case Kit [cite: 101]","","Cameras [cite: 102]","5$ [cite: 103]",""
"SmallHD FOCUS 7 Bolt 500 RX (NPF battery) [cite: 104]","","","",""
"Teradek Bold 500 (1080p) [cite: 105]","","Cameras [cite: 108]","1755 [cite: 109]","3G-SDI/HDMI Wireless Transmitter And Receiver [cite: 106], 50S [cite: 107]"
"Impact Baby Drop Down Pin [cite: 111]","2 [cite: 111]","Grip [cite: 111]","",""
"Matthews Matthellini Clamp with 3 Center Jaw [cite: 111]","2 [cite: 111]","Grip [cite: 111]","",""
"Impact 20"" Grip Arm with Big Handle x 2 [cite: 111]","2 [cite: 111]","Grip [cite: 111]","",""
